,award_company,award_type,movie,person,year
56,oscars,best_director,Amadeus,Miloš Forman,1984
57,oscars,best_director,Out of Africa,Sydney Pollack,1985
58,oscars,best_director,Platoon,Oliver Stone,1986
59,oscars,best_director,The Last Emperor,Bernardo Bertolucci,1987
60,oscars,best_director,Rain Man,Barry Levinson,1988
61,oscars,best_director,Born on the Fourth of July,Oliver Stone,1989
62,oscars,best_director,Dances with Wolves,Kevin Costner,1990
63,oscars,best_director,The Silence of the Lambs,Jonathan Demme,1991
64,oscars,best_director,Unforgiven,Clint Eastwood,1992
65,oscars,best_director,Schindler's List,Steven Spielberg,1993
66,oscars,best_director,Forrest Gump,Robert Zemeckis,1994
67,oscars,best_director,Braveheart,Mel Gibson,1995
68,oscars,best_director,The English Patient,Anthony Minghella,1996
69,oscars,best_director,Titanic,James Cameron,1997
70,oscars,best_director,Saving Private Ryan,Steven Spielberg,1998
71,oscars,best_director,American Beauty,Sam Mendes,1999
72,oscars,best_director,Traffic,Steven Soderbergh,2000
73,oscars,best_director,A Beautiful Mind,Ron Howard,2001
74,oscars,best_director,The Pianist,Roman Polanski,2002
75,oscars,best_director,The Lord of the Rings: The Return of the King,Peter Jackson,2003
76,oscars,best_director,Million Dollar Baby,Clint Eastwood,2004
77,oscars,best_director,Brokeback Mountain,Ang Lee,2005
78,oscars,best_director,The Departed,Martin Scorsese,2006
79,oscars,best_director,No Country for Old Men,Joel Coen and Ethan Coen,2007
80,oscars,best_director,Slumdog Millionaire,Danny Boyle,2008
81,oscars,best_director,The Hurt Locker,Kathryn Bigelow,2009
82,oscars,best_director,The King's Speech,Tom Hooper,2010
83,oscars,best_director,The Artist,Michel Hazanavicius,2011
84,oscars,best_director,Life of Pi,Ang Lee,2012
85,oscars,best_director,Gravity,Alfonso Cuarón,2013
86,oscars,best_director,Birdman,Alejandro González Iñárritu,2014
87,oscars,best_director,The Revenant,Alejandro González Iñárritu,2015
88,oscars,best_director,La La Land,Damien Chazelle,2016
89,oscars,best_director,The Shape of Water,Guillermo del Toro,2017
90,oscars,best_director,Roma,Alfonso Cuarón,2018
91,oscars,best_director,Parasite,Bong Joon-ho,2019
92,oscars,best_director,Nomadland,Chloé Zhao,2020/21
93,oscars,best_director,The Power of the Dog,Jane Campion,2021
94,oscars,best_actor,The Last Command,Emil Jannings,1927
95,oscars,best_actor,In Old Arizona,Warner Baxter,1928
96,oscars,best_actor,Disraeli,George Arliss,1929
97,oscars,best_actor,A Free Soul,Lionel Barrymore,1930
98,oscars,best_actor,The Champ,Wallace Beery,1931
99,oscars,best_actor,The Private Life of Henry VIII,Charles Laughton,1932
100,oscars,best_actor,It Happened One Night,Clark Gable,1934
101,oscars,best_actor,The Informer,Victor McLaglen,1935
102,oscars,best_actor,The Story of Louis Pasteur,Paul Muni,1936
103,oscars,best_actor,Captains Courageous,Spencer Tracy,1937
104,oscars,best_actor,Boys Town,Spencer Tracy,1938
105,oscars,best_actor,"Goodbye, Mr. Chips",Robert Donat,1939
106,oscars,best_actor,The Philadelphia Story,James Stewart,1940
107,oscars,best_actor,Sergeant York,Gary Cooper,1941
108,oscars,best_actor,Yankee Doodle Dandy,James Cagney,1942
109,oscars,best_actor,Watch on the Rhine,Paul Lukas,1943
110,oscars,best_actor,Going My Way,Bing Crosby,1944
111,oscars,best_actor,The Lost Weekend,Ray Milland,1945
112,oscars,best_actor,The Best Years of Our Lives,Fredric March,1946
113,oscars,best_actor,A Double Life,Ronald Colman,1947
114,oscars,best_actor,Hamlet,Laurence Olivier,1948
115,oscars,best_actor,All the King's Men,Broderick Crawford,1949
116,oscars,best_actor,Cyrano de Bergerac,José Ferrer,1950
117,oscars,best_actor,The African Queen,Humphrey Bogart,1951
118,oscars,best_actor,High Noon,Gary Cooper,1952
119,oscars,best_actor,Stalag 17,William Holden,1953
120,oscars,best_actor,On the Waterfront,Marlon Brando,1954
121,oscars,best_actor,Marty,Ernest Borgnine,1955
122,oscars,best_actor,The King and I,Yul Brynner,1956
123,oscars,best_actor,The Bridge on the River Kwai,Alec Guinness,1957
124,oscars,best_actor,Separate Tables,David Niven,1958
125,oscars,best_actor,Ben-Hur,Charlton Heston,1959
126,oscars,best_actor,Elmer Gantry,Burt Lancaster,1960
127,oscars,best_actor,Judgment at Nuremberg,Maximilian Schell,1961
128,oscars,best_actor,To Kill a Mockingbird,Gregory Peck,1962
129,oscars,best_actor,Lilies of the Field,Sidney Poitier,1963
130,oscars,best_actor,My Fair Lady,Rex Harrison,1964
131,oscars,best_actor,Cat Ballou,Lee Marvin,1965
132,oscars,best_actor,A Man for All Seasons,Paul Scofield,1966
133,oscars,best_actor,In the Heat of the Night,Rod Steiger,1967
134,oscars,best_actor,Charly,Cliff Robertson,1968
135,oscars,best_actor,True Grit,John Wayne,1969
136,oscars,best_actor,Patton,George C. Scott,1970
137,oscars,best_actor,The French Connection,Gene Hackman,1971
138,oscars,best_actor,The Godfather,Marlon Brando,1972
139,oscars,best_actor,Save the Tiger,Jack Lemmon,1973
140,oscars,best_actor,Harry and Tonto,Art Carney,1974
141,oscars,best_actor,One Flew Over the Cuckoo's Nest,Jack Nicholson,1975
142,oscars,best_actor,Network,Peter Finch,1976
143,oscars,best_actor,The Goodbye Girl,Richard Dreyfuss,1977
144,oscars,best_actor,Coming Home,Jon Voight,1978
145,oscars,best_actor,Kramer vs. Kramer,Dustin Hoffman,1979
146,oscars,best_actor,Raging Bull,Robert De Niro,1980
147,oscars,best_actor,On Golden Pond,Henry Fonda,1981
148,oscars,best_actor,Gandhi,Ben Kingsley,1982
149,oscars,best_actor,Tender Mercies,Robert Duvall,1983
150,oscars,best_actor,Amadeus,F. Murray Abraham,1984
151,oscars,best_actor,Kiss of the Spider Woman,William Hurt,1985
152,oscars,best_actor,The Color of Money,Paul Newman,1986
153,oscars,best_actor,Wall Street,Michael Douglas,1987
154,oscars,best_actor,Rain Man,Dustin Hoffman,1988
155,oscars,best_actor,My Left Foot,Daniel Day-Lewis,1989
156,oscars,best_actor,Reversal of Fortune,Jeremy Irons,1990
157,oscars,best_actor,The Silence of the Lambs,Anthony Hopkins,1991
158,oscars,best_actor,Scent of a Woman,Al Pacino,1992
159,oscars,best_actor,Philadelphia,Tom Hanks,1993
160,oscars,best_actor,Forrest Gump,Tom Hanks,1994
161,oscars,best_actor,Leaving Las Vegas,Nicolas Cage,1995
162,oscars,best_actor,Shine,Geoffrey Rush,1996
163,oscars,best_actor,As Good as It Gets,Jack Nicholson,1997
164,oscars,best_actor,Life Is Beautiful,Roberto Benigni,1998
165,oscars,best_actor,American Beauty,Kevin Spacey,1999
166,oscars,best_actor,Gladiator,Russell Crowe,2000
167,oscars,best_actor,Training Day,Denzel Washington,2001
168,oscars,best_actor,The Pianist,Adrien Brody,2002
169,oscars,best_actor,Mystic River,Sean Penn,2003
170,oscars,best_actor,Ray,Jamie Foxx,2004
171,oscars,best_actor,Capote,Philip Seymour Hoffman,2005
172,oscars,best_actor,The Last King of Scotland,Forest Whitaker,2006
173,oscars,best_actor,There Will Be Blood,Daniel Day-Lewis,2007
174,oscars,best_actor,Milk,Sean Penn,2008
175,oscars,best_actor,Crazy Heart,Jeff Bridges,2009
176,oscars,best_actor,The King's Speech,Colin Firth,2010
177,oscars,best_actor,The Artist,Jean Dujardin,2011
178,oscars,best_actor,Lincoln,Daniel Day-Lewis,2012
179,oscars,best_actor,Dallas Buyers Club,Matthew McConaughey,2013
180,oscars,best_actor,The Theory of Everything,Eddie Redmayne,2014
181,oscars,best_actor,The Revenant,Leonardo DiCaprio,2015
182,oscars,best_actor,Manchester by the Sea,Casey Affleck,2016
183,oscars,best_actor,Darkest Hour,Gary Oldman,2017
184,oscars,best_actor,Bohemian Rhapsody,Rami Malek,2018
185,oscars,best_actor,Joker,Joaquin Phoenix,2019
186,oscars,best_actor,The Father,Anthony Hopkins,2020/21
187,oscars,best_actor,King Richard,Will Smith,2021
188,oscars,best_actress,7th Heaven,Janet Gaynor,1927
189,oscars,best_actress,Coquette,Mary Pickford,1928
190,oscars,best_actress,The Divorcee,Norma Shearer,1929
191,oscars,best_actress,Min and Bill,Marie Dressler,1930
192,oscars,best_actress,The Sin of Madelon Claudet,Helen Hayes,1931
193,oscars,best_actress,Morning Glory,Katharine Hepburn,1932
194,oscars,best_actress,It Happened One Night,Claudette Colbert,1934
195,oscars,best_actress,Dangerous,Bette Davis,1935
196,oscars,best_actress,The Great Ziegfeld,Luise Rainer,1936
197,oscars,best_actress,The Good Earth,Luise Rainer,1937
198,oscars,best_actress,Jezebel,Bette Davis,1938
199,oscars,best_actress,Gone with the Wind,Vivien Leigh,1939
200,oscars,best_actress,Kitty Foyle,Ginger Rogers,1940
201,oscars,best_actress,Suspicion,Joan Fontaine,1941
202,oscars,best_actress,Mrs. Miniver,Greer Garson,1942
203,oscars,best_actress,The Song of Bernadette,Jennifer Jones,1943
204,oscars,best_actress,Gaslight,Ingrid Bergman,1944
205,oscars,best_actress,Mildred Pierce,Joan Crawford,1945
206,oscars,best_actress,To Each His Own,Olivia de Havilland,1946
207,oscars,best_actress,The Farmer's Daughter,Loretta Young,1947
208,oscars,best_actress,Johnny Belinda,Jane Wyman,1948
209,oscars,best_actress,The Heiress,Olivia de Havilland,1949
210,oscars,best_actress,Born Yesterday,Judy Holliday,1950
211,oscars,best_actress,A Streetcar Named Desire,Vivien Leigh,1951
212,oscars,best_actress,"Come Back, Little Sheba",Shirley Booth,1952
213,oscars,best_actress,Roman Holiday,Audrey Hepburn,1953
214,oscars,best_actress,The Country Girl,Grace Kelly,1954
215,oscars,best_actress,The Rose Tattoo,Anna Magnani,1955
216,oscars,best_actress,Anastasia,Ingrid Bergman,1956
217,oscars,best_actress,The Three Faces of Eve,Joanne Woodward,1957
218,oscars,best_actress,I Want to Live!,Susan Hayward,1958
219,oscars,best_actress,Room at the Top,Simone Signoret,1959
220,oscars,best_actress,BUtterfield 8,Elizabeth Taylor,1960
221,oscars,best_actress,Two Women,Sophia Loren,1961
