,award_company,award_type,movie,person,year
1308,oscars,best_picture,Around the World in 80 Days,,1956
1309,oscars,best_picture,Friendly Persuasion,,1956
1310,oscars,best_picture,Giant,,1956
1311,oscars,best_picture,The King and I,,1956
1312,oscars,best_picture,The Ten Commandments,,1956
1313,oscars,best_picture,The Bridge on the River Kwai,,1957
1314,oscars,best_picture,12 Angry Men,,1957
1315,oscars,best_picture,Peyton Place,,1957
1316,oscars,best_picture,Sayonara,,1957
1317,oscars,best_picture,Witness for the Prosecution,,1957
1318,oscars,best_picture,Gigi,,1958
1319,oscars,best_picture,Auntie Mame,,1958
1320,oscars,best_picture,Cat on a Hot Tin Roof,,1958
1321,oscars,best_picture,The Defiant Ones,,1958
1322,oscars,best_picture,Separate Tables,,1958
1323,oscars,best_picture,Ben-Hur,,1959
1324,oscars,best_picture,Anatomy of a Murder,,1959
1325,oscars,best_picture,The Diary of Anne Frank,,1959
1326,oscars,best_picture,The Nun's Story,,1959
1327,oscars,best_picture,Room at the Top,,1959
1328,oscars,best_picture,The Apartment,,1960
1329,oscars,best_picture,The Alamo,,1960
1330,oscars,best_picture,Elmer Gantry,,1960
1331,oscars,best_picture,Sons and Lovers,,1960
1332,oscars,best_picture,The Sundowners,,1960
1333,oscars,best_picture,West Side Story,,1961
1334,oscars,best_picture,Fanny,,1961
1335,oscars,best_picture,The Guns of Navarone,,1961
1336,oscars,best_picture,The Hustler,,1961
1337,oscars,best_picture,Judgment at Nuremberg,,1961
1338,oscars,best_picture,Lawrence of Arabia,,1962
1339,oscars,best_picture,The Longest Day,,1962
1340,oscars,best_picture,The Music Man,,1962
1341,oscars,best_picture,Mutiny on the Bounty,,1962
1342,oscars,best_picture,To Kill a Mockingbird,,1962
1343,oscars,best_picture,Tom Jones,,1963
1344,oscars,best_picture,America America,,1963
1345,oscars,best_picture,Cleopatra,,1963
1346,oscars,best_picture,How the West Was Won,,1963
1347,oscars,best_picture,Lilies of the Field,,1963
1348,oscars,best_picture,My Fair Lady,,1964
1349,oscars,best_picture,Becket,,1964
1350,oscars,best_picture,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,1964
1351,oscars,best_picture,Mary Poppins,,1964
1352,oscars,best_picture,Zorba the Greek,,1964
1353,oscars,best_picture,The Sound of Music,,1965
1354,oscars,best_picture,Darling,,1965
1355,oscars,best_picture,Doctor Zhivago,,1965
1356,oscars,best_picture,Ship of Fools,,1965
1357,oscars,best_picture,A Thousand Clowns,,1965
1358,oscars,best_picture,A Man for All Seasons,,1966
1359,oscars,best_picture,Alfie,,1966
1360,oscars,best_picture,"The Russians Are Coming, the Russians Are Coming",,1966
1361,oscars,best_picture,The Sand Pebbles,,1966
1362,oscars,best_picture,Who's Afraid of Virginia Woolf?,,1966
1363,oscars,best_picture,In the Heat of the Night,,1967
1364,oscars,best_picture,Bonnie and Clyde,,1967
1365,oscars,best_picture,Doctor Dolittle,,1967
1366,oscars,best_picture,The Graduate,,1967
